filem_name,genre,director_rank,director,sum_of_first_five,film_income,runtime_minuts,release_year
The Grudge,"Mystery & Thriller, Horror",10514,Nicolas Pesce,47521,21200000,94,2020
Like a Boss,Comedy,11262,Miguel Arteta,46247,22100000,83,2020
Bad Boys for Life,"Action, Comedy",11591,"Adil El Arbi, Bilall Fallah",65925,204300000,124,2020
Dolittle,"Comedy, Kids & Family, Adventure, Fantasy",11526,Stephen Gaghan,65767,77000000,100,2020
The Gentlemen,"Comedy, Crime, Drama",11960,Guy Ritchie,57020,36500000,113,2020
The Turning,"Mystery & Thriller, Horror",0,Floria Sigismondi,40416,15500000,93,2020
The Last Full Measure,"Drama, War",8302,Todd Robinson,48176,2900000,116,2020
The Rhythm Section,"Action, Mystery & Thriller",8591,Reed Morano,35543,4900000,109,2020
Gretel & Hansel,"Fantasy, Horror",9856,Oz Perkins,28782,15300000,87,2020
The Lodge,"Mystery & Thriller, Horror",8457,"Veronika Franz, Severin Fiala",42229,2100000,108,2020
Sonic the Hedgehog,"Kids & Family, Adventure, Fantasy, Comedy",11464,Jeff Fowler,61741,146700000,100,2020
Downhill,"Drama, Comedy",10253,"Nat Faxon, Jim Rash",40918,8300000,85,2020
The Call of the Wild,"Adventure, Drama",0,Christopher Sanders,63597,62100000,100,2020
Brahms: The Boy II,"Mystery & Thriller, Horror",11345,William Brent Bell,41443,12600000,86,2020
The Invisible Man,"Mystery & Thriller, Horror",11427,Leigh Whannell,53189,64300000,124,2020
Onward,"Animation, Fantasy, Kids & Family, Adventure, Comedy",11760,Dan Scanlon,47057,60400000,103,2020
The Burnt Orange Heresy,Mystery & Thriller,7956,Giuseppe Capotondi,43549,14380000,99,2020
First Cow,"Western, Drama",8472,Kelly Reichardt,43565,16100000,122,2020
Bloodshot,"Action, Adventure, Fantasy",0,Dave Wilson,58727,10100000,109,2020
I Still Believe,"Romance, Biography, Drama, Music",11147,"Jon Erwin, Andrew Erwin",39935,9100000,115,2020
The Roads Not Taken,Drama,8958,Sally Potter,56326,330000,85,2020
Insidious: The Last Key,"Mystery & Thriller, Horror",11553,Adam Robitel,28988,67300000,103,2018
The Commuter,"Mystery & Thriller, Action",11823,Jaume Collet-Serra,42369,36300000,104,2018
Proud Mary,"Action, Mystery & Thriller",11343,Babak Najafi,53187,20200000,88,2018
12 Strong,"Drama, War",10765,Nicolai Fuglsig,59513,44300000,130,2018
Den of Thieves,"Mystery & Thriller, Crime, Drama, Action",10849,Christian Gudegast,45975,44900000,140,2018
Forever My Girl,"Romance, Music, Drama",9581,Bethany Ashton Wolf,34825,16400000,108,2018
Maze Runner: The Death Cure,"Sci-Fi, Action, Adventure, Mystery & Thriller",11804,Wes Ball,67298,57400000,142,2018
A Fantastic Woman,"Lgbtq+, Drama",0,Sebastián Lelio,23259,2000000,103,2018
Fifty Shades Freed,"Drama, Romance",11801,James Foley,45983,100400000,105,2018
The 15:17 to Paris,"Mystery & Thriller, Drama",11976,Clint Eastwood,35695,36200000,94,2018
Black Panther,"Action, Adventure, Fantasy",11897,Ryan Coogler,49556,700200000,134,2018
Early Man,"Kids & Family, Adventure, Animation, Comedy",11633,Nick Park,59049,8200000,89,2018
The Party,"Comedy, Drama",8958,Sally Potter,36134,74890000,71,2018
Black '47,"Mystery & Thriller, History, Drama",7328,Lance Daly,42958,4930000,100,2018
Samson,"Action, Adventure",8367,Bruce Macdonald,39928,4700000,110,2018
Game Night,"Action, Comedy",11348,"John Francis Daley, Jonathan M. Goldstein",39544,69000000,100,2018
Annihilation,"Mystery & Thriller, Adventure, Sci-Fi",10858,Alex Garland,45364,32700000,115,2018
Every Day,"Fantasy, Drama, Romance",11328,Michael Sucsy,31582,6100000,95,2018
Red Sparrow,Mystery & Thriller,11977,Francis Lawrence,43675,46700000,139,2018
Death Wish,"Action, Mystery & Thriller",11565,Eli Roth,39996,34000000,107,2018
A Wrinkle in Time,"Sci-Fi, Kids & Family, Adventure, Fantasy",0,Ava DuVernay,46788,100500000,109,2018
Gringo,"Action, Comedy",9290,Nash Edgerton,47259,4900000,110,2018
Thoroughbreds,"Mystery & Thriller, Comedy",8046,Cory Finley,43230,2700000,90,2018
The Death of Stalin,Comedy,10199,Armando Iannucci,61651,8000000,107,2018
The Strangers: Prey at Night,"Mystery & Thriller, Horror",11219,Johannes Roberts,42215,24400000,85,2018
The Hurricane Heist,"Action, Mystery & Thriller",11885,Rob Cohen,47988,6100000,103,2018
Tomb Raider,"Action, Adventure",11424,Roar Uthaug,40117,57300000,118,2018
"Love, Simon","Lgbtq+, Drama, Romance, Comedy",11246,Greg Berlanti,45669,40800000,110,2018
I Can Only Imagine,"Biography, Drama, Music",0,The Erwin Brothers,41139,83500000,110,2018
7 Days in Entebbe,"Mystery & Thriller, History, Drama",0,José Padilha,42272,2900000,107,2018
Flower,"Drama, Comedy",5135,Max Winkler,36607,32740000,90,2018
Isle of Dogs,"Adventure, Animation, Comedy",11675,Wes Anderson,73292,31900000,101,2018
Sherlock Gnomes,"Mystery & Thriller, Animation, Kids & Family, Adventure, Comedy",11749,John Stevenson,48977,43100000,86,2018
Unsane,"Horror, Mystery & Thriller",11954,Steven Soderbergh,33146,7700000,98,2018
"Paul, Apostle of Christ",Drama,9985,Andrew Hyatt,36787,17500000,108,2018
Final Portrait,"Biography, Drama, Comedy",9739,Stanley Tucci,53391,46090000,90,2018
Midnight Sun,"Drama, Romance",11292,Scott Speer,41268,9600000,91,2018
Ready Player One,"Sci-Fi, Action, Adventure, Fantasy",11999,Steven Spielberg,46932,137000000,140,2018
God's Not Dead: A Light in Darkness,Drama,8814,Michael Mason,58266,5700000,106,2018
Gemini,Mystery & Thriller,6461,Aaron Katz,39579,12350000,93,2018
A Quiet Place,"Mystery & Thriller, Horror",11722,John Krasinski,47364,68400000,90,2018
Blockers,Comedy,10964,Kay Cannon,45589,59800000,102,2018
Chappaquiddick,"Mystery & Thriller, History, Drama",10086,John Curran,41832,17400000,101,2018
Beirut,"Mystery & Thriller, Drama",11006,Brad Anderson,48323,5000000,109,2018
The Seagull,Drama,9914,Michael Mayer,42650,1200000,98,2018
Rampage,"Action, Adventure, Sci-Fi",11874,Brad Peyton,45061,99300000,107,2018
Super Troopers 2,Comedy,11286,Jay Chandrasekhar,40276,30600000,103,2018
Traffik,"Mystery & Thriller, Action",10953,Deon Taylor,56024,9200000,96,2018
Avengers: Infinity War,"Action, Adventure, Sci-Fi, Fantasy",11998,"Anthony Russo, Joe Russo",79852,678800000,149,2018
Disobedience,"Lgbtq+, Drama, Romance",0,Sebastián Lelio,47832,3500000,114,2018
Overboard,"Romance, Comedy",10936,Rob Greenberg,46805,50200000,112,2018
Tully,"Drama, Comedy",11715,Jason Reitman,41050,9200000,94,2018
Deadpool 2,"Action, Adventure, Fantasy, Comedy",11909,David Leitch,48054,324300000,120,2018
Book Club,"Romance, Comedy",10938,Bill Holderman,47344,68500000,104,2018
First Reformed,"Mystery & Thriller, Drama",11020,Paul Schrader,48517,3400000,113,2018
Show Dogs,"Kids & Family, Adventure, Comedy",11934,Raja Gosnell,72552,17700000,92,2018
Solo: A Star Wars Story,"Fantasy, Action, Adventure, Sci-Fi",11987,Ron Howard,48006,213800000,135,2018
How to Talk to Girls at Parties,"Romance, Sci-Fi",9323,John Cameron Mitchell,39397,8040000,102,2018
American Animals,"Mystery & Thriller, Crime, Drama",8862,Bart Layton,33549,2900000,116,2018
Ocean's 8,"Crime, Drama, Comedy",11850,Gary Ross,49222,139400000,110,2018
Hereditary,"Mystery & Thriller, Horror",11127,Ari Aster,38825,44100000,127,2018
Hotel Artemis,"Action, Mystery & Thriller",9388,Drew Pearce,46672,6700000,93,2018
Superfly,"Mystery & Thriller, Crime, Drama, Action",0,Director X.,31244,20500000,116,2018
Incredibles 2,"Animation, Action, Kids & Family, Adventure, Comedy",11978,Brad Bird,48992,608600000,118,2018
Tag,Comedy,10815,Jeff Tomsic,47873,54500000,100,2018
On Chesil Beach,"Drama, Romance",9929,Dominic Cooke,43488,74160000,110,2018
Gotti,"Biography, Crime, Drama",8699,Kevin Connolly,46255,4300000,105,2018
Jurassic World: Fallen Kingdom,"Action, Mystery & Thriller, Adventure, Sci-Fi",11906,Juan Antonio Bayona,57613,416700000,128,2018
Boundaries,"Drama, Comedy",10612,Shana Feste,42607,69840000,104,2018
Damsel,"Western, Comedy",6492,"David Zellner, Nathan Zellner",44407,28280000,113,2018
Sicario: Day of the Soldado,"Mystery & Thriller, Action, Drama, Crime",0,Stefano Sollima,59912,50100000,122,2018
Leave No Trace,Drama,9916,Debra Granik,34377,6000000,108,2018
Uncle Drew,Comedy,11026,Charles Stone III,41071,42500000,104,2018
Woman Walks Ahead,"Western, History, Drama",11031,Susanna White,39855,3450000,102,2018
Sorry to Bother You,"Fantasy, Sci-Fi, Comedy",9670,Boots Riley,60282,17500000,105,2018
Hotel Transylvania 3: Summer Vacation,"Animation, Fantasy, Kids & Family, Adventure, Comedy",11881,Genndy Tartakovsky,48151,167500000,97,2018
Skyscraper,"Action, Mystery & Thriller",11811,Rawson Marshall Thurber,50630,67800000,102,2018
"Don't Worry, He Won't Get Far on Foot","Biography, Drama, Comedy",11639,Gus Van Sant,42186,1400000,113,2018
Shock and Awe,Drama,11810,Rob Reiner,45136,4590000,90,2018
Mamma Mia! Here We Go Again,"Musical, Comedy",11571,Ol Parker,77445,120600000,114,2018
The Equalizer 2,"Action, Mystery & Thriller",11880,Antoine Fuqua,42140,102000000,121,2018
Blindspotting,"Drama, Comedy",0,Carlos López Estrada,43927,4300000,95,2018
Puzzle,Drama,7445,Marc Turtletaub,42541,2000000,103,2018
Christopher Robin,"Kids & Family, Adventure, Fantasy, Comedy",11907,Marc Forster,55740,99200000,104,2018
The Darkest Minds,"Mystery & Thriller, Action, Sci-Fi",11857,Jennifer Yuh Nelson,60077,12700000,104,2018
The Spy Who Dumped Me,"Action, Comedy",10818,Susanna Fogel,42772,33500000,116,2018
Never Goin' Back,Comedy,6608,Augustine Frizzell,21075,6110000,86,2018
Dog Days,"Romance, Comedy",10760,Ken Marino,38374,6800000,113,2018
BlacKkKlansman,"Crime, Drama, Comedy",11705,Spike Lee,58718,48600000,134,2018
Slender Man,"Mystery & Thriller, Horror",11215,Sylvain White,49910,30500000,93,2018
Crazy Rich Asians,"Romance, Comedy",11891,Jon M. Chu,66046,174500000,120,2018
Mile 22,"Mystery & Thriller, Action",11902,Peter Berg,44602,36100000,95,2018
The Wife,Drama,0,Björn Runge,51195,9600000,100,2018
"Juliet, Naked","Romance, Music, Comedy",10099,Jesse Peretz,51775,3400000,105,2018
The Happytime Murders,"Mystery & Thriller, Comedy",10926,Brian Henson,55330,20700000,91,2018
Papillon,"Biography, Adventure, History, Drama",8863,Michael Noer,35070,2300000,133,2018
Operation Finale,"Mystery & Thriller, History, Drama",11894,Chris Weitz,51583,17600000,122,2018
Kin,"Action, Mystery & Thriller, Sci-Fi",9166,"Jonathan Baker, Josh Baker",52521,5700000,102,2018
Peppermint,"Mystery & Thriller, Action",11539,Pierre Morel,30332,35400000,102,2018
The Predator,"Action, Adventure, Sci-Fi, Horror",11892,Shane Black,44594,51000000,106,2018
White Boy Rick,"Biography, Crime, Drama",10102,Yann Demange,40862,24000000,111,2018
A Simple Favor,"Mystery & Thriller, Comedy",11856,Paul Feig,60188,53500000,117,2018
The Children Act,Drama,10780,Richard Eyre,54223,43250000,105,2018
Unbroken: Path to Redemption,"History, Biography, Drama",10976,Harold Cronk,33900,6200000,98,2018
Life Itself,"Romance, Drama, Comedy",9524,Dan Fogelman,47752,4100000,118,2018
The Sisters Brothers,"Western, Crime, Drama, Comedy",10583,Jacques Audiard,66270,3100000,120,2018
Assassination Nation,"Action, Comedy",8118,Sam Levinson,53700,2000000,110,2018
Colette,"Drama, Biography, History",10628,Wash Westmoreland,29676,5100000,111,2018
Smallfoot,"Kids & Family, Adventure, Animation, Comedy",11702,Karey Kirkpatrick,47283,83200000,96,2018
Night School,Comedy,11758,Malcolm D. Lee,59400,77200000,111,2018
The Old Man & the Gun,"Mystery & Thriller, Drama, Comedy",11257,David Lowery,43242,11100000,93,2018
Venom,"Action, Adventure, Sci-Fi, Fantasy",11855,Ruben Fleischer,34710,213500000,112,2018
A Star Is Born,"Drama, Romance, Music",11598,Bradley Cooper,64197,215300000,135,2018
The Hate U Give,"Crime, Drama",0,George Tillman Jr.,60499,29600000,133,2018
The Happy Prince,"History, Lgbtq+, Biography, Drama",7516,Rupert Everett,54752,46450000,105,2018
First Man,"History, Adventure, Biography, Drama",11709,Damien Chazelle,44268,44800000,141,2018
Bad Times at the El Royale,"Mystery & Thriller, Crime, Drama",11011,Drew Goddard,44754,17800000,141,2018
Goosebumps 2: Haunted Halloween,"Fantasy, Other, Adventure, Comedy",10424,Ari Sandel,36944,46700000,90,2018
Beautiful Boy,"Biography, Drama",0,Felix van Groeningen,46110,7600000,112,2018
The Oath,"Other, Comedy",5113,Ike Barinholtz,52796,38740000,93,2018
Can You Ever Forgive Me?,"Lgbtq+, Biography, Drama, Comedy",10876,Marielle Heller,48896,8800000,106,2018
Wildlife,Drama,8097,Paul Dano,43787,1000000,104,2018
What They Had,Drama,5396,Elizabeth Chomko,42704,25440000,100,2018
Hunter Killer,"Mystery & Thriller, Action",10068,Donovan Marsh,47076,15700000,121,2018
Johnny English Strikes Again,"Comedy, Adventure",11218,David Kerr,52026,4300000,88,2018
Tyler Perry's A Madea Family Funeral,Comedy,11822,Tyler Perry,65405,73200000,109,2019
Suspiria,"Mystery & Thriller, Horror",10594,Luca Guadagnino,47758,2500000,152,2018
Bohemian Rhapsody,"History, Drama, Music, Lgbtq+, Biography",11983,Bryan Singer,47483,216300000,135,2018
The Nutcracker and the Four Realms,"Kids & Family, Other, Adventure, Fantasy",0,"Lasse Hallström, Joe Johnston",63871,54800000,99,2018
Nobody's Fool,"Romance, Comedy",11822,Tyler Perry,42486,31700000,110,2018
Boy Erased,"Lgbtq+, Biography, Drama",10761,Joel Edgerton,59419,6700000,115,2018
A Private War,"War, Biography, Drama",8494,Matthew Heineman,47465,1600000,110,2018
Bodied,Comedy,10460,Joseph Kahn,20052,11400000,121,2018
The Front Runner,"Biography, Drama",11715,Jason Reitman,58326,2000000,113,2018
The Girl in the Spider's Web,"Action, Mystery & Thriller",0,Fede Alvarez,47972,14800000,117,2018
Overlord,"Action, Mystery & Thriller, Horror",10327,Julius Avery,52564,21700000,110,2018
Fantastic Beasts: The Crimes of Grindelwald,"Fantasy, Adventure",11993,David Yates,47874,159400000,134,2018
Widows,"Mystery & Thriller, Crime, Drama",0,Steve McQueen,47731,42400000,128,2018
Instant Family,"Drama, Comedy",11736,Sean Anders,42590,67300000,119,2018
Ralph Breaks the Internet,"Adventure, Comedy, Kids & Family, Animation",11672,"Phil Johnston, Rich Moore",48039,201100000,112,2018
Green Book,"Comedy, Drama",11896,Peter Farrelly,57526,85100000,130,2018
Robin Hood,"Action, Adventure",10893,Otto Bathurst,62890,30800000,118,2018
The Favourite,"Drama, Comedy",11096,Yorgos Lanthimos,42518,34200000,120,2018
Capernaum,Drama,10713,Nadine Labaki,27302,1700000,130,2018
Mary Queen of Scots,"History, Biography, Drama",10488,Josie Rourke,36284,16400000,124,2018
Ben Is Back,"Mystery & Thriller, Drama",11150,Peter Hedges,53900,3700000,103,2019
Spider-Man: Into the Spider-Verse,"Animation, Action, Fantasy, Kids & Family, Adventure, Comedy",11546,"Bob Persichetti, Peter Ramsey, Rodney Rothman",46245,190200000,117,2018
Escape Room,"Mystery & Thriller, Horror",11553,Adam Robitel,41243,57000000,100,2019
A Dog's Way Home,"Kids & Family, Adventure, Drama",11419,Charles Martin Smith,52693,42000000,96,2019
The Upside,"Drama, Comedy",11691,Neil Burger,57653,108200000,126,2019
Glass,"Mystery & Thriller, Drama",11971,M. Night Shyamalan,47071,111000000,129,2019
The Kid Who Would Be King,"Kids & Family, Adventure, Fantasy",10230,Joe Cornish,51447,16800000,120,2019
Serenity,"Mystery & Thriller, Drama",10053,Steven Knight,48371,8500000,103,2019
Miss Bala,"Action, Mystery & Thriller",11707,Catherine Hardwicke,37861,15000000,104,2019
Piercing,"Mystery & Thriller, Horror, Comedy",10514,Nicolas Pesce,32877,1420000,81,2019
What Men Want,"Fantasy, Romance, Comedy",11849,Adam Shankman,41552,54600000,117,2019
Isn't It Romantic,"Fantasy, Romance, Comedy",10892,Todd Strauss-Schulson,53366,48800000,88,2019
Happy Death Day 2U,"Mystery & Thriller, Horror, Comedy",11477,Christopher Landon,54929,28000000,100,2019
Alita: Battle Angel,"Fantasy, Animation, Adventure, Sci-Fi, Action",11904,Robert Rodriguez,45322,85800000,122,2019
How to Train Your Dragon: The Hidden World,"Animation, Adventure, Fantasy, Kids & Family, Comedy",11908,Dean DeBlois,47929,160800000,104,2019
Captain Marvel,"Fantasy, Action, Adventure, Sci-Fi",11842,"Anna Boden, Ryan Fleck",48897,426800000,124,2019
The Kid,"Western, Drama",6996,Vincent D'Onofrio,36446,1500000,100,2019
Wonder Park,"Animation, Fantasy, Kids & Family, Adventure, Comedy",0,Dylan C. Brown,47569,45200000,85,2019
Captive State,"Mystery & Thriller, Sci-Fi",11667,Rupert Wyatt,59026,5900000,109,2019
The Aftermath,"Romance, History, Drama",9495,James Kent,40120,1600000,109,2019
Five Feet Apart,"Drama, Romance",10950,Justin Baldoni,50373,45700000,116,2019
Triple Threat,"Action, Sports & Fitness",4657,Jesse V. Johnson,45137,7340000,96,2019
Us,"Mystery & Thriller, Horror",11656,Jordan Peele,37798,175000000,116,2019
Hotel Mumbai,"Mystery & Thriller, Drama",9806,Anthony Maras,41461,9600000,125,2019
Dumbo,"Kids & Family, Drama, Fantasy",11990,Tim Burton,48637,114800000,112,2019
The Beach Bum,Comedy,10610,Harmony Korine,67920,3500000,95,2019
Shazam!,"Action, Adventure, Fantasy, Comedy",11777,David F. Sandberg,53352,140400000,132,2019
Pet Sematary,"Mystery & Thriller, Horror",11057,"Kevin Kolsch, Dennis Widmyer",39180,54700000,101,2019
The Best of Enemies,"History, Drama",9150,Robin Bissell,51757,10200000,133,2019
High Life,"Mystery & Thriller, Adventure, Sci-Fi",8753,Claire Denis,42777,1200000,113,2019
Little,"Fantasy, Comedy",9037,Tina Gordon Chism,54496,40600000,109,2019
Missing Link,"Kids & Family, Adventure, Animation, Comedy",11149,Chris Butler,60704,16600000,94,2019
Her Smell,"Drama, Music",5822,Alex Ross Perry,41224,25770000,135,2019
Breakthrough,Drama,10506,Roxann Dawson,42821,40700000,116,2019
The Curse of La Llorona,"Mystery & Thriller, Horror",11487,Michael Chaves,54124,54700000,93,2019
Under the Silver Lake,"Mystery & Thriller, Comedy",9983,David Robert Mitchell,47120,3530000,139,2019
Family,Comedy,4040,Laura Steinel,31047,12650000,85,2019
Fast Color,"Mystery & Thriller, Drama, Sci-Fi",4192,Julia Hart,44161,7470000,100,2019
Avengers: Endgame,"Action, Adventure, Sci-Fi, Fantasy",11998,"Anthony Russo, Joe Russo",79831,858400000,181,2019
UglyDolls,"Animation, Kids & Family, Adventure, Musical, Comedy",11893,Kelly Asbury,68642,20100000,87,2019
Pokémon Detective Pikachu,"Comedy, Kids & Family, Adventure, Mystery & Thriller",11913,Rob Letterman,58686,144100000,104,2019
The Hustle,Comedy,10987,Chris Addison,46593,35400000,94,2019
Tolkien,"History, Biography, Drama",9058,Dome Karukoski,43801,4500000,112,2019
Poms,Comedy,9583,Zara Hayes,58650,13600000,91,2019
A Dog's Journey,"Drama, Fantasy, Kids & Family, Adventure, Comedy",10839,Gail Mancuso,49969,22500000,108,2019
The Sun Is Also a Star,"Drama, Romance",9939,Ry Russo-Young,48122,4900000,100,2019
The Souvenir,"Drama, Romance",7181,Joanna Hogg,42189,1000000,119,2019
The Tomorrow Man,"Drama, Romance",4941,Noble Jones,38160,33180000,94,2019
Aladdin,"Fantasy, Kids & Family, Adventure, Romance, Musical, Comedy",11960,Guy Ritchie,47763,355600000,128,2019
Booksmart,"Lgbtq+, Comedy",9948,Olivia Wilde,56429,22700000,102,2019
Godzilla: King of the Monsters,"Action, Adventure, Sci-Fi",11608,Michael Dougherty,45004,110500000,132,2019
Rocketman,"Lgbtq+, Biography, Drama, Musical",11390,Dexter Fletcher,43302,96300000,121,2019
Dark Phoenix,"Fantasy, Action, Adventure, Sci-Fi",11392,Simon Kinberg,46996,65800000,114,2019
